,Unnamed: 0,id,slope,AIC,mass,sfr,url
1,1,1,-0.0010808331600176135,1.0,11.386159447539072,346.32,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/1/
4,4,4,-0.004063423635370298,1.0,10.8779070390327,21.0766,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/4/
15,15,15,-0.00764743998383448,1.0,9.916413536701086,5.34034,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15/
16,16,16,-0.004638841585860685,2.0,9.821870010933218,11.9249,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/16/
17,17,17,-0.0031006123707199716,1.0,10.07707863447776,1.6927900000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/17/
19,19,19,-0.0008930337873194194,2.0,10.098865379162882,1.36297,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/19/
23,23,23,-0.0008387573475014563,1.0,9.536695218082777,7.32512,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/23/
25,25,25,-0.009887573220911827,1.0,9.441316791421439,2.2069900000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25/
26,26,30,-0.0020580809434369574,2.0,9.397714275884848,23.9182,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/30/
27,27,31,-0.004669569714939037,2.0,9.796737757256352,0.16567,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31/
28,28,32,0.0001269167730065839,1.0,9.415532734372816,1.62133,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/32/
30,30,37,-0.0056889529427856834,2.0,9.300025482527401,3.79725,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37/
32,32,45,-0.0011398847327649035,1.0,9.140370333562268,0.9321020000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/45/
33,33,47,0.00013323404737898244,1.0,9.110944417703957,0.9546899999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/47/
34,34,62,-6.87770769824556e-05,2.0,8.977946252943664,1.2530700000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/62/
37,37,74,-0.00025787119174938597,1.0,8.876333090435006,0.845939,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/74/
38,38,292,3.244308741153315e-05,1.0,8.491229313465173,0.014865799999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/292/
62,62,8092,-0.0048934311407628096,2.0,9.94749059401873,0.31126,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8092/
70,70,8106,-0.001753269966009656,1.0,9.268562634481366,0.031174200000000003,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8106/
78,78,8123,-0.00011300048207575258,2.0,9.054499062763352,0.516908,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8123/
82,82,8136,-0.0001179834508388177,2.0,8.90495324540452,0.29351900000000003,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8136/
84,84,8139,-0.0017301913598870664,1.0,9.476077112509467,0.0330911,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8139/
89,89,8158,-0.0012849145924717093,1.0,9.236995323732248,0.06947460000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8158/
91,91,8214,-0.001276147418936625,1.0,8.540869010334005,0.226091,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8214/
93,93,8255,2.1556023508902082e-05,1.0,8.896761122690544,0.00250354,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8255/
94,94,8419,-0.00019432718491612869,2.0,8.529577802020636,0.00443018,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8419/
95,95,8433,2.7927717753563926e-05,1.0,8.479593202507237,0.00407288,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8433/
96,96,9021,,,7.972475331270143,0.00139597,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/9021/
105,105,15233,-0.003307259992258824,1.0,10.515959448209284,5.6988199999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15233/
110,110,15238,-0.002011891571081391,2.0,10.239669212657123,2.2877099999999997,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15238/
114,114,15242,-0.0011924467223272117,2.0,10.030036390341703,1.3257299999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15242/
135,135,15314,-0.0010429030400398095,1.0,8.920118086338524,0.053284500000000005,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15314/
137,137,15319,-0.0003615648894133729,1.0,8.59075873456122,0.09818330000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15319/
138,138,15399,-7.96385522321623e-05,1.0,8.832573019944068,0.00183187,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15399/
139,139,15403,-0.00011044308320818395,1.0,8.876281947829474,0.0026695,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15403/
140,140,15416,-0.00024540145992536013,2.0,8.827194838205543,0.00344296,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15416/
144,144,21557,-0.003499339721873218,2.0,11.019722017366039,47.7946,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21557/
147,147,21560,-0.005001556346171014,2.0,10.177823098735367,30.6005,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21560/
151,151,21564,-0.006577029323104027,2.0,10.131716857254276,1.60489,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21564/
155,155,21568,-0.0005080125515540228,2.0,9.917580855899423,0.280154,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21568/
160,160,21575,-0.002162205920595389,1.0,9.466943760318971,0.22417800000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21575/
166,166,21584,-0.0007453221658142702,1.0,8.832704975644166,0.22625599999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21584/
169,169,21597,-0.00015940855675556558,1.0,9.346474827855081,0.0159747,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21597/
177,177,25826,-0.0015019705298233888,2.0,10.690182995755992,7.77987,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25826/
178,178,25827,-0.005148262353740221,2.0,10.65609084251909,8.16537,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25827/
179,179,25828,-0.0015597411897397373,2.0,10.644064223603658,7.05532,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25828/
184,184,25833,-0.0023846554121538794,2.0,10.01128393653588,1.52196,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25833/
188,188,25837,-0.0011100500193069504,2.0,9.945722342045908,0.582911,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25837/
189,189,25838,-0.0024347894896192823,2.0,9.776444660364943,0.24459899999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25838/
191,191,25840,-0.0011142488286242716,2.0,9.708479362301034,1.06721,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25840/
199,199,25850,-0.0016023028247980952,1.0,9.537506785389114,0.209689,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25850/
201,201,25853,-0.00576818827579494,1.0,8.997853363735826,1.0286,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25853/
203,203,25856,-0.00037653819222565455,1.0,8.981927831138892,0.303983,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25856/
210,210,25875,-0.00016690994368129014,1.0,8.671254034506676,0.226271,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25875/
211,211,25885,-0.0008261567738422441,1.0,9.088342767905491,0.0200918,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25885/
212,212,25913,-0.00036481068597393865,1.0,8.984107891679862,0.00775503,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25913/
213,213,25923,-0.00017222399545986294,1.0,8.26564769774575,0.0480001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25923/
214,214,25956,-0.0004754760961597409,1.0,8.525868868274781,0.0127261,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25956/
215,215,26090,-0.00026043943674895396,1.0,8.233425560665394,0.00359763,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/26090/
238,238,31835,-0.00506103800553714,2.0,10.338117567861971,11.1242,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31835/
239,239,31836,-0.0028779893729842243,1.0,10.37304672587215,1.87516,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31836/
249,249,31847,-0.0021929012448212667,1.0,9.597799760032103,2.0546,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31847/
252,252,31850,-0.0026449527931151216,1.0,9.768442772487674,0.138535,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31850/
264,264,31865,-0.00016896940073825008,1.0,8.925768097764324,0.42416800000000005,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31865/
265,265,31866,-0.002117080151885896,1.0,9.149921502548304,0.07640169999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31866/
267,267,31870,-0.00024889772208408554,1.0,9.465769546673704,0.0352385,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31870/
269,269,31876,-0.0002533139143384981,1.0,9.393848402686745,0.0270349,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31876/
274,274,31884,-0.0005803088472312763,1.0,8.607586393305883,0.192358,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31884/
275,275,31914,-0.0001342190224619672,2.0,8.792217931987173,0.00991077,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31914/
276,276,31917,-0.000416245866236002,2.0,8.770649848895681,0.013666299999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31917/
277,277,32122,-0.00025668010223368193,1.0,8.046295697476209,0.00176958,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/32122/
282,282,34606,-0.00784334823207633,2.0,10.617160436673078,12.2542,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/34606/
283,283,34607,-0.0014146983898067902,2.0,10.347144122862707,26.603,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/34607/
289,289,34613,-0.0023067097375202975,2.0,10.01967116389276,0.379603,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/34613/
290,290,34615,-0.0027591724650666114,1.0,10.018751097502957,0.530321,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/34615/
291,291,34616,-0.0022790986081356315,2.0,9.99917024007128,0.598201,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/34616/
304,304,34648,-0.0004488722819256416,2.0,8.922852744109605,0.035627,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/34648/
310,310,37161,-0.00203656879503078,2.0,10.585801970832797,5.43513,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37161/
311,311,37162,-0.0031257013736205597,1.0,10.399182003260695,6.33635,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37162/
317,317,37169,-0.0018440246437469402,1.0,9.759991071702505,0.881132,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37169/
328,328,37181,-0.0011190397244041051,1.0,9.582856820472502,0.048082,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37181/
330,330,37214,8.03472004049131e-05,2.0,8.374169600260393,0.053492399999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37214/
331,331,37216,-0.0003369631878191439,1.0,8.9552315561265,0.00429557,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37216/
332,332,37227,-0.00023177046575462775,2.0,8.77379119399001,0.00911927,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37227/
339,339,39751,-0.0018556764543964023,2.0,9.958790508208232,2.61315,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/39751/
345,345,39759,-0.0008627357421961151,1.0,9.551735526517646,0.130572,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/39759/
347,347,39763,-0.00012243239775230674,2.0,8.997118243945511,3.5419400000000003,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/39763/
352,352,39798,-8.45311599836599e-05,2.0,8.444880675265052,0.0610026,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/39798/
354,354,42405,-0.005402365092159744,2.0,11.104531060061461,94.7152,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42405/
356,356,42407,-0.0016577950007061828,1.0,10.512013538082169,17.4985,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42407/
369,369,42422,-8.536172755149617e-06,1.0,9.17107015948532,0.49463100000000004,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42422/
370,370,42423,-3.395141545024209e-05,2.0,9.162202865635251,0.400273,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42423/
371,371,42424,-0.003154871615301977,1.0,9.522971056705206,0.13598,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42424/
373,373,42430,-0.0006462275201211148,1.0,8.939122609020831,0.48239099999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42430/
375,375,42439,-0.0001169184417267099,2.0,8.745818591106383,0.19439800000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42439/
376,376,42440,-0.00012727946515181114,2.0,8.728618537664644,0.11953499999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42440/
377,377,42442,-0.0001880312843876019,1.0,8.655840262275586,0.210085,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42442/
378,378,42443,-0.00013223387740322074,2.0,8.659057064126708,0.156751,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42443/
381,381,44317,-0.004653354285254485,1.0,11.133477149067282,131.787,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44317/
382,382,44318,-0.006532083967799653,2.0,10.534741995077008,15.0055,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44318/
383,383,44319,-0.004793853937964344,1.0,10.359363204765188,18.2599,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44319/
386,386,44322,-0.0013049021706995855,2.0,10.246548152074602,1.2170299999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44322/
392,392,44328,-0.0021119700007805665,1.0,9.488208790200106,0.7493989999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44328/
393,393,44329,0.0014504360945488783,1.0,9.148202134639352,2.2195,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44329/
394,394,44330,-0.00024271871253009718,2.0,9.128973416235793,0.158123,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44330/
395,395,44333,-0.00012263850877110516,1.0,8.895311273864143,0.7147399999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44333/
397,397,44338,-0.0013435102155707488,1.0,9.269215031622538,0.032979400000000006,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/44338/
412,412,46558,-0.0004322942477144759,2.0,9.119393055537305,0.150808,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/46558/
414,414,46568,-0.00015364071139826232,2.0,9.164623271395989,0.00707133,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/46568/
415,415,46574,-0.0011539942374807417,1.0,8.983775256990494,0.00920374,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/46574/
417,417,46577,-0.00025239875775123527,1.0,8.94185782185546,0.014866399999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/46577/
421,421,48460,-0.004278154680804134,2.0,9.722382258720248,4.87365,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/48460/
424,424,48463,-0.007055194673148302,2.0,9.484087482226355,7.34888,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/48463/
431,431,48475,-8.965847231337613e-05,1.0,8.975158313694516,0.33898,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/48475/
433,433,48501,-0.0005145184990078412,2.0,8.744839035398973,0.0471849,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/48501/
437,437,50684,-0.002594881304052458,2.0,10.522337944803583,6.5436,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50684/
445,445,50692,-0.007939349289741118,1.0,9.52028602683901,0.265676,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50692/
449,449,50697,-0.0012694850249172368,2.0,9.61444757711736,0.07786900000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50697/
450,450,50698,-0.002043646455008586,2.0,9.075839945832977,8.64738,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50698/
451,451,50700,-0.004048253206721197,2.0,9.025448581669496,1.1782299999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50700/
455,455,50712,-0.0003834019807188232,2.0,9.293672074206183,0.015691899999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50712/
456,456,50713,-0.00013417937029913083,1.0,8.718268469535229,0.118691,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50713/
457,457,50715,-0.004594489502414151,1.0,8.892068299547477,0.0111816,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50715/
458,458,50716,-0.000669716874935044,1.0,9.185004754062051,0.0591097,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/50716/
