,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
0,0,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/0,0.124289,212.158,13647.3,1762.13,7320.26,24545.4,24545.4,0.0278504,0.00710731,0.0065664
1,5,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/5,2.85955,1.80411,30.5232,1.89088,8056.38,24396.2,24396.2,0.01892,0.0236472,0.0282243
2,15,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/15,0.101127,1.4453,16.9832,0.057495,6994.97,23818.8,23818.8,0.023161,0.0546054,0.0696769
3,20,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/20,2.337,1.38536,9.58731,0.171339,7362.3,24363.8,24363.8,0.0244477,0.0310514,0.0324213
4,21,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/21,0.487044,0.206118,13.5997,0.708014,7571.96,23713.2,23713.2,0.0107083,0.00813434,0.00980245
5,22,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/22,0.264984,0.939908,9.6934,0.286947,6825.06,23944.1,23944.1,0.0221765,0.0285058,0.0387211
6,23,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/23,0.214856,0.399027,13.9576,0.121792,6435.2,24241.8,24241.8,0.0189714,0.0179996,0.0242569
7,26,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/26,0.118376,0.171908,13.651,0.452291,8034.81,24282.9,24282.9,0.0153261,0.0140708,0.0140305
8,33,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/33,0.0543014,0.231315,8.36426,0.028466,8013.99,24426.3,24426.3,0.0160501,0.0290475,0.0311288
9,37,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/37,0.757937,0.139988,6.74045,0.37798,6917.02,24525.6,24525.6,0.011673,0.00921499,0.016004
10,40,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/40,0.261555,0.103369,7.01024,0.220992,7167.95,23860.5,23860.5,0.0110996,0.0126188,0.0165864
11,44,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/44,0.158702,0.078326,6.24646,0.172305,6883.94,23472.5,23472.5,0.0127771,0.0126663,0.0148433
12,51,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/51,0.515981,0.105183,5.0053,0.161557,7626.88,24518.0,24518.0,0.0112617,0.00916376,0.010799
13,52,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/52,0.0169565,0.057411,5.73893,0.025274,6326.11,24408.4,24408.4,0.00974841,0.016464,0.0227853
14,56,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/56,0.0618727,0.119378,3.97671,0.153708,6673.02,23657.9,23657.9,0.012606,0.0140136,0.0185723
15,68,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/68,0.0339252,0.029285,4.17384,0.058174,6824.92,24971.3,24971.3,0.00808356,0.00813807,0.0119127
16,70,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/70,0.0540752,0.007357,3.64159,0.164581,7167.49,23358.3,23358.3,0.00503356,0.00771696,0.00900208
17,71,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71,0.00803514,0.027584,4.00774,0.010583,7659.18,23835.0,23835.0,0.00703856,0.00952241,0.0116736
