,x,y,m
0,-165.0,-14.0,1204517.0
1,-165.0,-11.0,1387541.0
2,-165.0,-10.0,1200773.0
3,-165.0,-8.0,1120422.0
4,-165.0,-7.0,1365370.0
5,-165.0,-2.0,1152505.0
6,-165.0,-1.0,1416152.0
7,-165.0,1.0,1076923.0
8,-165.0,2.0,1230127.0
9,-165.0,3.0,1370392.0
10,-165.0,5.0,973433.0
11,-165.0,6.0,891996.0
12,-165.0,7.0,4860979.0
13,-165.0,12.0,1288734.0
14,-165.0,13.0,1308067.0
15,-164.0,-22.0,2757291.0
16,-164.0,-21.0,1615563.0
17,-164.0,-20.0,1365257.0
18,-164.0,-18.0,4107824.0
19,-164.0,-17.0,2919998.0
20,-164.0,-16.0,1404082.0
21,-164.0,-14.0,4838050.0
22,-164.0,-12.0,5988384.0
23,-164.0,-9.0,2685461.0
24,-164.0,-7.0,1378416.0
25,-164.0,-6.0,1104731.0
26,-164.0,-5.0,4145749.0
27,-164.0,-4.0,4054425.0
28,-164.0,-3.0,1411161.0
29,-164.0,-2.0,964721.0
30,-164.0,-1.0,1773020.0
31,-164.0,0.0,4188940.0
32,-164.0,2.0,940109.0
33,-164.0,3.0,1244298.0
34,-164.0,5.0,2226316.0
35,-164.0,6.0,2254233.0
36,-164.0,7.0,4340050.0
37,-164.0,8.0,2754808.0
38,-164.0,10.0,2725789.0
39,-164.0,11.0,1548466.0
40,-164.0,13.0,1555709.0
41,-164.0,14.0,1374173.0
42,-164.0,15.0,3775314.0
43,-164.0,17.0,3652873.0
44,-164.0,18.0,1594900.0
45,-164.0,20.0,1426702.0
46,-163.0,-27.0,1476564.0
47,-163.0,-24.0,1486559.0
48,-163.0,-23.0,1460843.0
49,-163.0,-22.0,3008160.0
50,-163.0,-20.0,3944473.0
51,-163.0,-19.0,2705442.0
52,-163.0,-18.0,2964378.0
53,-163.0,-17.0,1011401.0
54,-163.0,-15.0,1474978.0
55,-163.0,-14.0,5070856.0
56,-163.0,-13.0,1095642.0
57,-163.0,-12.0,1128681.0
58,-163.0,-11.0,3753600.0
59,-163.0,-10.0,2408208.0
60,-163.0,-9.0,2493551.0
61,-163.0,-8.0,5051818.0
62,-163.0,-7.0,2742478.0
63,-163.0,-6.0,2522184.0
64,-163.0,-4.0,6827141.0
65,-163.0,-3.0,4034880.0
66,-163.0,-2.0,2023280.0
67,-163.0,-1.0,1374136.0
68,-163.0,0.0,1525548.0
69,-163.0,1.0,3779697.0
70,-163.0,2.0,1060067.0
71,-163.0,3.0,2505124.0
72,-163.0,4.0,6629550.0
73,-163.0,5.0,2463999.0
74,-163.0,6.0,1180497.0
75,-163.0,7.0,1108046.0
76,-163.0,8.0,6622260.0
77,-163.0,9.0,2888525.0
78,-163.0,10.0,4366402.0
79,-163.0,11.0,5341535.0
80,-163.0,12.0,3916669.0
81,-163.0,13.0,5242507.0
82,-163.0,14.0,2554334.0
83,-163.0,15.0,1274208.0
84,-163.0,16.0,5536713.0
85,-163.0,18.0,3693253.0
86,-163.0,19.0,2705371.0
87,-163.0,20.0,1120291.0
88,-163.0,22.0,4177230.0
89,-163.0,23.0,2314005.0
90,-163.0,24.0,2633952.0
91,-163.0,25.0,1504735.0
92,-162.0,-34.0,1255573.0
93,-162.0,-32.0,1222473.0
94,-162.0,-30.0,1098365.0
95,-162.0,-29.0,3683217.0
96,-162.0,-28.0,2786658.0
97,-162.0,-26.0,1572743.0
98,-162.0,-25.0,5992394.0
99,-162.0,-24.0,1504497.0
100,-162.0,-23.0,1344339.0
101,-162.0,-22.0,3362376.0
102,-162.0,-20.0,1551709.0
103,-162.0,-18.0,3260534.0
104,-162.0,-17.0,3962926.0
105,-162.0,-16.0,5886901.0
106,-162.0,-15.0,1180059.0
107,-162.0,-14.0,1489415.0
108,-162.0,-13.0,4213965.0
109,-162.0,-12.0,2905438.0
110,-162.0,-11.0,4369948.0
111,-162.0,-10.0,3935145.0
112,-162.0,-9.0,1450902.0
113,-162.0,-8.0,1182952.0
114,-162.0,-7.0,2445397.0
115,-162.0,-6.0,5519467.0
116,-162.0,-5.0,2917845.0
117,-162.0,-4.0,3812017.0
118,-162.0,-3.0,1268314.0
119,-162.0,-2.0,6126703.0
120,-162.0,-1.0,7182870.0
121,-162.0,0.0,3778621.0
122,-162.0,1.0,1600811.0
123,-162.0,2.0,6591553.0
124,-162.0,3.0,4038520.0
125,-162.0,4.0,1115206.0
126,-162.0,5.0,4122135.0
127,-162.0,6.0,5758358.0
128,-162.0,7.0,1269232.0
129,-162.0,9.0,3980882.0
130,-162.0,10.0,5930346.0
131,-162.0,11.0,2731682.0
132,-162.0,13.0,3948782.0
133,-162.0,15.0,4758760.0
134,-162.0,16.0,3835659.0
135,-162.0,17.0,3835041.0
136,-162.0,18.0,4685904.0
137,-162.0,19.0,7152718.0
138,-162.0,21.0,2956292.0
139,-162.0,22.0,2552769.0
140,-162.0,23.0,4150455.0
141,-162.0,25.0,6674301.0
142,-162.0,26.0,4088681.0
143,-162.0,27.0,3209582.0
144,-162.0,28.0,1393455.0
145,-162.0,29.0,1443610.0
146,-162.0,30.0,2837344.0
147,-162.0,31.0,1342742.0
148,-162.0,34.0,1826020.0
149,-162.0,35.0,1750854.0
150,-161.0,-38.0,2780771.0
151,-161.0,-35.0,1782792.0
